Unit Type, Start Area, Value Added Time, No Value added Time, Down Time
SD1,Pkg,20,0,0,
SD1,Ins,20,20,0,
SD2,Doors,40,16,0,
SD2,Settings,40,46,0,
SD2,CLT,40,66,0,
SD2,Build,45,66,0,
SD1,Build,86,50,0,
SD2,Build,95,66,0,
SD1,Build,122,50,0,
SD2,Prep,115,66,0,
SD1,Build,158,50,0,
SD2,ULT,135,87,0,
SD1,Build,194,50,0,
SD2,Rec,135,66,0,
SD2,UA,165,107,0,
SD1,ULT,270,86,0,
SD2,UA,190,107,8,
SD1,AVS,270,96,0,
SD1,INIT,270,101,0,
SD2,UA,215,107,9,
SD1,UA,275,101,0,
SD2,,215,107,19,
SD2,,215,107,0,
SD2,,215,107,0,
SD1,,350,101,12,
SD2,,215,107,0,
SD1,,350,101,10,
SD1,,350,101,0,
SD1,,350,101,0,
SD2,,215,107,0,
SD2,,215,107,0,
SD2,,215,107,3,
SD1,,350,101,0,
SD2,FB,225,107,3,
SD2,FB,235,107,3,
SD1,,350,101,0,
SD1,,350,101,1,
SD2,FB,275,107,9,
SD1,,350,102,0,
SD1,FB,440,101,0,
SD1,FB,470,101,10,
SD2,FB,275,107,18,
SD1,FB,500,101,0,
SD2,FB,275,107,0,
SD1,FB,530,101,9,
SD2,FB,275,107,0,
SD2,FB,275,107,0,
SD1,FB,530,101,0,
SD2,FB,275,107,1,
SD1,FB,530,101,0,
SD2,FB,275,107,7,
SD2,FB,275,107,7,
SD1,FB,530,101,0,
SD2,FB,275,107,0,
SD1,FB,530,101,0,
SD2,FB,275,107,0,
SD1,FB,530,101,0,
SD2,FB,275,107,0,
SD2,FB,275,121,1,
SD2,FB,275,107,0,
SD1,FB,530,101,0,
SD2,FB,275,107,0,
SD1,FB,530,101,0,
SD1,FB,530,101,0,
SD2,FB,275,107,0,
SD1,FB,530,101,0,
SD1,FB,530,120,0,
SD2,FB,275,107,0,
SD2,FB,275,107,0,
SD2,FB,275,107,0,
SD1,FB,530,101,14,
SD1,FB,530,101,14,
SD2,FB,275,107,0,
SD1,FB,530,101,0,
SD2,FB,275,107,0,
SD1,FB,530,101,0,
SD2,FB,275,107,0,
SD1,FB,530,101,12,
SD1,FB,530,101,0,
SD1,FB,530,101,0,
SD2,FB,275,107,0,
SD2,FB,275,107,0,
SD2,FB,275,107,0,
SD1,FB,530,101,0,
SD2,FB,275,107,0,
SD2,FB,275,107,0,
SD1,FB,530,101,0,
SD2,FB,275,107,0,
SD1,FB,530,101,0,
